epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
6,1,0.6721,0.6019,0.6396,0.5225,coded_tweets-AND-smaller-ar,0.4063,0.5592
7,1,0.6744,0.615,0.6479,0.543,coded_tweets-AND-smaller-ar,0.4155,0.5772
8,1,0.6744,0.615,0.6479,0.543,coded_tweets-AND-smaller-ar,0.4155,0.5772
1,2,0.4669,0.1822,0.5521,0.1906,coded_tweets-AND-smaller-ar,0.0607,0.1927
2,2,0.6086,0.4238,0.6177,0.3811,coded_tweets-AND-smaller-ar,0.2049,0.3978
3,2,0.6445,0.4833,0.6344,0.4119,coded_tweets-AND-smaller-ar,0.2754,0.4501
4,2,0.626,0.4331,0.6156,0.3197,coded_tweets-AND-smaller-ar,0.2172,0.3896
5,2,0.6587,0.4926,0.6406,0.4016,coded_tweets-AND-smaller-ar,0.3117,0.4723
6,2,0.6862,0.5706,0.6688,0.4959,coded_tweets-AND-smaller-ar,0.3867,0.5429
7,2,0.6738,0.5985,0.6448,0.5246,coded_tweets-AND-smaller-ar,0.4122,0.5598
8,2,0.6738,0.5985,0.6448,0.5246,coded_tweets-AND-smaller-ar,0.4122,0.5598
1,3,0.4826,0.2083,0.55,0.2111,coded_tweets-AND-smaller-ar,0.0599,0.1818
2,3,0.6283,0.4841,0.624,0.4385,coded_tweets-AND-smaller-ar,0.2276,0.4214
3,3,0.6399,0.4709,0.6427,0.4078,coded_tweets-AND-smaller-ar,0.2677,0.4495
4,3,0.6329,0.4503,0.649,0.3975,coded_tweets-AND-smaller-ar,0.2662,0.4605
5,3,0.6896,0.5704,0.6656,0.4939,coded_tweets-AND-smaller-ar,0.3623,0.5344
6,3,0.6769,0.5891,0.65,0.5328,coded_tweets-AND-smaller-ar,0.371,0.5541
7,3,0.6862,0.6004,0.6604,0.5492,coded_tweets-AND-smaller-ar,0.4336,0.5841
8,3,0.6862,0.6004,0.6604,0.5492,coded_tweets-AND-smaller-ar,0.4336,0.5841
9,3,0.6862,0.6004,0.6604,0.5492,coded_tweets-AND-smaller-ar,0.4336,0.5841
1,1,0.7965,0.7941,0.65,0.5082,coded_tweets-AND-other-coded-tweets,0.532,0.5811
2,1,0.8094,0.8075,0.6656,0.5615,coded_tweets-AND-other-coded-tweets,0.5844,0.628
3,1,0.8105,0.8079,0.6781,0.541,coded_tweets-AND-other-coded-tweets,0.5594,0.6104
4,1,0.8127,0.8113,0.6594,0.5574,coded_tweets-AND-other-coded-tweets,0.5656,0.6179
5,1,0.8094,0.8069,0.6594,0.502,coded_tweets-AND-other-coded-tweets,0.5386,0.5779
1,2,0.7975,0.794,0.6385,0.3811,coded_tweets-AND-other-coded-tweets,0.4286,0.4773
2,2,0.8068,0.8059,0.6271,0.543,coded_tweets-AND-other-coded-tweets,0.5483,0.6014
3,2,0.8123,0.8109,0.6281,0.5225,coded_tweets-AND-other-coded-tweets,0.5365,0.5814
4,2,0.8121,0.8105,0.6281,0.5184,coded_tweets-AND-other-coded-tweets,0.5419,0.5824
5,2,0.8127,0.811,0.6365,0.5348,coded_tweets-AND-other-coded-tweets,0.5541,0.5989
1,3,0.7983,0.7954,0.6531,0.4672,coded_tweets-AND-other-coded-tweets,0.4822,0.5475
2,3,0.8084,0.8072,0.6521,0.5369,coded_tweets-AND-other-coded-tweets,0.5693,0.5957
3,3,0.8109,0.8103,0.6417,0.5717,coded_tweets-AND-other-coded-tweets,0.5953,0.6225
4,3,0.811,0.8115,0.6354,0.5758,coded_tweets-AND-other-coded-tweets,0.5705,0.6245
5,3,0.8121,0.8109,0.6542,0.5512,coded_tweets-AND-other-coded-tweets,0.5738,0.6152
