epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
2,1,0.7362,0.5888,0.7665,0.5464,coded_tweets-AND-smaller-ar,0.4617,0.5584
3,1,0.7378,0.6423,0.7595,0.6048,coded_tweets-AND-smaller-ar,0.5289,0.6163
4,1,0.7685,0.6375,0.7928,0.5921,coded_tweets-AND-smaller-ar,0.5457,0.6251
5,1,0.7664,0.646,0.7899,0.6112,coded_tweets-AND-smaller-ar,0.5709,0.6447
6,1,0.7664,0.646,0.7899,0.6112,coded_tweets-AND-smaller-ar,0.5709,0.6447
7,1,0.7664,0.646,0.7899,0.6112,coded_tweets-AND-smaller-ar,0.5709,0.6447
1,2,0.598,0.1396,0.6545,0.1029,coded_tweets-AND-smaller-ar,0.0216,0.0524
2,2,0.696,0.4886,0.7299,0.4663,coded_tweets-AND-smaller-ar,0.3253,0.4504
3,2,0.7156,0.6015,0.742,0.601,coded_tweets-AND-smaller-ar,0.4925,0.5971
4,2,0.7564,0.5977,0.7911,0.5883,coded_tweets-AND-smaller-ar,0.5511,0.6209
5,2,0.7622,0.6142,0.7945,0.5959,coded_tweets-AND-smaller-ar,0.5545,0.6321
6,2,0.7622,0.6142,0.7945,0.5959,coded_tweets-AND-smaller-ar,0.5545,0.6321
7,2,0.7622,0.6142,0.7945,0.5959,coded_tweets-AND-smaller-ar,0.5545,0.6321
8,2,0.7622,0.6142,0.7945,0.5959,coded_tweets-AND-smaller-ar,0.5545,0.6321
1,3,0.6562,0.2728,0.717,0.2592,coded_tweets-AND-smaller-ar,0.1542,0.2487
2,3,0.6954,0.585,0.715,0.5845,coded_tweets-AND-smaller-ar,0.4415,0.5622
3,3,0.7585,0.6066,0.7794,0.5997,coded_tweets-AND-smaller-ar,0.5376,0.6285
4,3,0.7728,0.5926,0.7895,0.5718,coded_tweets-AND-smaller-ar,0.529,0.6127
5,3,0.7696,0.6345,0.7853,0.6023,coded_tweets-AND-smaller-ar,0.5569,0.6395
6,3,0.7696,0.6345,0.7853,0.6023,coded_tweets-AND-smaller-ar,0.5569,0.6395
1,1,0.786,0.7833,0.7828,0.5489,coded_tweets-AND-other-coded-tweets,0.5127,0.6064
2,1,0.8067,0.8051,0.7815,0.601,coded_tweets-AND-other-coded-tweets,0.5665,0.651
3,1,0.8139,0.8127,0.7824,0.6353,coded_tweets-AND-other-coded-tweets,0.6184,0.6895
4,1,0.8196,0.8182,0.7853,0.6175,coded_tweets-AND-other-coded-tweets,0.6052,0.6767
5,1,0.8267,0.825,0.7941,0.6353,coded_tweets-AND-other-coded-tweets,0.6141,0.6885
6,1,0.8267,0.825,0.7941,0.6353,coded_tweets-AND-other-coded-tweets,0.6141,0.6885
1,2,0.7841,0.7815,0.7799,0.5616,coded_tweets-AND-other-coded-tweets,0.5594,0.6123
2,2,0.8052,0.8029,0.787,0.5794,coded_tweets-AND-other-coded-tweets,0.5875,0.6403
3,2,0.815,0.8126,0.7932,0.5832,coded_tweets-AND-other-coded-tweets,0.5832,0.6421
4,2,0.8204,0.8191,0.7819,0.6455,coded_tweets-AND-other-coded-tweets,0.6358,0.6905
5,2,0.8258,0.8245,0.7915,0.6645,coded_tweets-AND-other-coded-tweets,0.6472,0.7077
6,2,0.8258,0.8245,0.7915,0.6645,coded_tweets-AND-other-coded-tweets,0.6472,0.7077
7,2,0.8258,0.8245,0.7915,0.6645,coded_tweets-AND-other-coded-tweets,0.6472,0.7077
1,3,0.7859,0.7844,0.7594,0.5959,coded_tweets-AND-other-coded-tweets,0.5733,0.6406
2,3,0.8024,0.8022,0.747,0.6734,coded_tweets-AND-other-coded-tweets,0.6298,0.6981
3,3,0.8127,0.8113,0.7782,0.6455,coded_tweets-AND-other-coded-tweets,0.6376,0.6903
4,3,0.818,0.816,0.7865,0.6023,coded_tweets-AND-other-coded-tweets,0.6065,0.6569
5,3,0.8248,0.8233,0.7853,0.6353,coded_tweets-AND-other-coded-tweets,0.6272,0.6837
6,3,0.8248,0.8233,0.7853,0.6353,coded_tweets-AND-other-coded-tweets,0.6272,0.6837
7,3,0.8248,0.8233,0.7853,0.6353,coded_tweets-AND-other-coded-tweets,0.6272,0.6837
