epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
8,1,0.6384,0.5124,0.6365,0.4594,coded_tweets-AND-smaller-ar,0.2517,0.4756
9,1,0.6384,0.5124,0.6365,0.4594,coded_tweets-AND-smaller-ar,0.2517,0.4756
10,1,0.6384,0.5124,0.6365,0.4594,coded_tweets-AND-smaller-ar,0.2517,0.4756
1,2,0.4896,0.2462,0.5604,0.2713,coded_tweets-AND-smaller-ar,0.0466,0.1845
2,2,0.568,0.4173,0.6594,0.4554,coded_tweets-AND-smaller-ar,0.1699,0.4229
3,2,0.6427,0.4808,0.6542,0.4119,coded_tweets-AND-smaller-ar,0.2291,0.4459
4,2,0.6999,0.5962,0.6917,0.5089,coded_tweets-AND-smaller-ar,0.352,0.5539
5,2,0.7052,0.5615,0.6875,0.4812,coded_tweets-AND-smaller-ar,0.3844,0.5573
6,2,0.7106,0.6365,0.7021,0.5703,coded_tweets-AND-smaller-ar,0.4293,0.6174
7,2,0.7014,0.6731,0.7083,0.6218,coded_tweets-AND-smaller-ar,0.4707,0.653
8,2,0.7014,0.6731,0.7083,0.6218,coded_tweets-AND-smaller-ar,0.4707,0.653
1,3,0.4165,0.115,0.4875,0.1545,coded_tweets-AND-smaller-ar,0.0174,0.0861
2,3,0.6149,0.4737,0.6156,0.4475,coded_tweets-AND-smaller-ar,0.1599,0.3875
3,3,0.6556,0.4893,0.6708,0.4317,coded_tweets-AND-smaller-ar,0.2746,0.4753
4,3,0.688,0.5634,0.6865,0.497,coded_tweets-AND-smaller-ar,0.3597,0.5391
5,3,0.7326,0.6218,0.7104,0.5347,coded_tweets-AND-smaller-ar,0.4361,0.599
6,3,0.7523,0.655,0.7208,0.5545,coded_tweets-AND-smaller-ar,0.4897,0.6197
7,3,0.733,0.6979,0.6896,0.5941,coded_tweets-AND-smaller-ar,0.4546,0.6227
8,3,0.733,0.6979,0.6896,0.5941,coded_tweets-AND-smaller-ar,0.4546,0.6227
9,3,0.733,0.6979,0.6896,0.5941,coded_tweets-AND-smaller-ar,0.4546,0.6227
10,3,0.733,0.6979,0.6896,0.5941,coded_tweets-AND-smaller-ar,0.4546,0.6227
1,1,0.7909,0.7888,0.7083,0.5644,coded_tweets-AND-other-coded-tweets,0.5264,0.6263
2,1,0.8033,0.8014,0.6906,0.5644,coded_tweets-AND-other-coded-tweets,0.5459,0.6245
3,1,0.811,0.8106,0.6823,0.604,coded_tweets-AND-other-coded-tweets,0.6064,0.6463
4,1,0.8163,0.8152,0.6875,0.6,coded_tweets-AND-other-coded-tweets,0.5649,0.6369
5,1,0.8184,0.8172,0.6875,0.6,coded_tweets-AND-other-coded-tweets,0.5574,0.6412
6,1,0.8193,0.8176,0.6927,0.5921,coded_tweets-AND-other-coded-tweets,0.5478,0.6349
1,2,0.7892,0.7866,0.6854,0.5248,coded_tweets-AND-other-coded-tweets,0.5445,0.5923
2,2,0.8026,0.8009,0.701,0.5861,coded_tweets-AND-other-coded-tweets,0.5669,0.641
3,2,0.8097,0.809,0.6979,0.6376,coded_tweets-AND-other-coded-tweets,0.57,0.6687
4,2,0.8129,0.811,0.726,0.6178,coded_tweets-AND-other-coded-tweets,0.5625,0.6659
5,2,0.8156,0.8138,0.7292,0.6178,coded_tweets-AND-other-coded-tweets,0.5623,0.6695
1,3,0.7838,0.7803,0.6906,0.5129,coded_tweets-AND-other-coded-tweets,0.4774,0.5921
2,3,0.8028,0.8017,0.7104,0.6376,coded_tweets-AND-other-coded-tweets,0.5647,0.6721
3,3,0.8102,0.8085,0.7208,0.5921,coded_tweets-AND-other-coded-tweets,0.5561,0.6475
4,3,0.8145,0.8126,0.7344,0.6099,coded_tweets-AND-other-coded-tweets,0.574,0.6582
5,3,0.8155,0.8136,0.7302,0.6119,coded_tweets-AND-other-coded-tweets,0.5573,0.6547
