epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
8,3,0.7871,0.6012,0.8219,0.5645,coded_tweets-AND-small-ar,0.4959,0.6139
1,1,0.6945,0.1844,0.7544,0.191,coded_tweets-AND-smaller-ar,0.0624,0.1669
2,1,0.7542,0.5133,0.7816,0.4836,coded_tweets-AND-smaller-ar,0.3086,0.522
3,1,0.782,0.4867,0.8188,0.4475,coded_tweets-AND-smaller-ar,0.3201,0.5077
4,1,0.8009,0.5847,0.8142,0.5232,coded_tweets-AND-smaller-ar,0.4235,0.5754
5,1,0.7924,0.6329,0.7961,0.5645,coded_tweets-AND-smaller-ar,0.4521,0.602
6,1,0.7981,0.6312,0.8047,0.568,coded_tweets-AND-smaller-ar,0.5073,0.6108
7,1,0.8072,0.6229,0.8165,0.5611,coded_tweets-AND-smaller-ar,0.4677,0.6101
1,2,0.7095,0.2396,0.7662,0.2289,coded_tweets-AND-smaller-ar,0.0777,0.2205
2,2,0.7775,0.5424,0.7866,0.4768,coded_tweets-AND-smaller-ar,0.2821,0.5053
3,2,0.757,0.5158,0.7757,0.4854,coded_tweets-AND-smaller-ar,0.3169,0.5231
4,2,0.767,0.5541,0.7742,0.5164,coded_tweets-AND-smaller-ar,0.4142,0.5591
5,2,0.7767,0.5674,0.7874,0.5491,coded_tweets-AND-smaller-ar,0.4634,0.5952
6,2,0.7848,0.579,0.7888,0.5611,coded_tweets-AND-smaller-ar,0.4825,0.6055
1,3,0.572,0.2226,0.6296,0.2203,coded_tweets-AND-smaller-ar,0.0427,0.1387
2,3,0.7527,0.3879,0.7907,0.3339,coded_tweets-AND-smaller-ar,0.2293,0.4048
3,3,0.7716,0.4595,0.8107,0.4337,coded_tweets-AND-smaller-ar,0.2935,0.4931
4,3,0.7729,0.5692,0.7952,0.5404,coded_tweets-AND-smaller-ar,0.3906,0.5772
5,3,0.7947,0.5866,0.8147,0.5387,coded_tweets-AND-smaller-ar,0.4061,0.5817
6,3,0.797,0.5882,0.8174,0.5491,coded_tweets-AND-smaller-ar,0.4403,0.5957
7,3,0.7953,0.5803,0.8224,0.5559,coded_tweets-AND-smaller-ar,0.4712,0.6064
8,3,0.7953,0.5803,0.8224,0.5559,coded_tweets-AND-smaller-ar,0.4712,0.6064
1,1,0.7945,0.7928,0.7912,0.4888,coded_tweets-AND-other-coded-tweets,0.4877,0.5711
2,1,0.8072,0.8062,0.7775,0.5198,coded_tweets-AND-other-coded-tweets,0.5036,0.5946
3,1,0.8114,0.81,0.7793,0.5318,coded_tweets-AND-other-coded-tweets,0.5186,0.6042
4,1,0.8098,0.8082,0.8047,0.5318,coded_tweets-AND-other-coded-tweets,0.509,0.6114
5,1,0.8109,0.8091,0.8057,0.5146,coded_tweets-AND-other-coded-tweets,0.5054,0.5934
1,2,0.7996,0.7964,0.8043,0.3787,coded_tweets-AND-other-coded-tweets,0.4535,0.4898
2,2,0.8106,0.8087,0.803,0.5043,coded_tweets-AND-other-coded-tweets,0.5059,0.5931
3,2,0.8152,0.8137,0.8002,0.525,coded_tweets-AND-other-coded-tweets,0.5131,0.6018
4,2,0.8166,0.8147,0.8088,0.5009,coded_tweets-AND-other-coded-tweets,0.5316,0.5876
5,2,0.8154,0.8138,0.8083,0.5422,coded_tweets-AND-other-coded-tweets,0.5474,0.6166
1,3,0.7964,0.7948,0.7871,0.475,coded_tweets-AND-other-coded-tweets,0.4364,0.5443
2,3,0.8061,0.8052,0.7898,0.525,coded_tweets-AND-other-coded-tweets,0.5322,0.592
3,3,0.8133,0.8124,0.7943,0.5404,coded_tweets-AND-other-coded-tweets,0.5327,0.6124
4,3,0.8132,0.8121,0.793,0.5456,coded_tweets-AND-other-coded-tweets,0.5668,0.6158
5,3,0.8136,0.812,0.8021,0.5267,coded_tweets-AND-other-coded-tweets,0.5401,0.6108
