"user_id","user_party","user_state","followed_mcs","followed_mcs_dem","followed_mcs_rep","followed_mcs_dem_n","followed_mcs_rep_n","followed_mcs_sameparty_n","followed_mcs_samestate_n","followed_mcs_samestate_dem_n","followed_mcs_samestate_rep_n","followed_mcs_samestate_sameparty_n","followed_natmedia","followed_natmedia_n","followed_statemedia","followed_statemedia_n","followed_statemedia_samestate","followed_statemedia_samestate_n","followed_partisans_n","followed_partisans_sameparty_n"
"18640054","republican","IL","18170310;55677432;221162525;29442313;18805303;10615232;357606935;17494010;233842454;1074480192;237814920;18916432;217543151;970207298;1480852568;23022687;41363507;968650362;278005891;20015903;216776631;14836282;18166778;19739126;88784440;13218102;22509548;78387677;432895323;733751245;19394188;21269970;3686482216;15428227;1009269193;26062385;17976923;247334603;216881337;2962923040;993153006;225921757;1249982359;1058520120;15745368","357606935;1009269193;17494010;278005891;247334603;1058520120;970207298","18170310;55677432;221162525;10615232;18805303;233842454;1074480192;237814920;18916432;217543151;1480852568;23022687;41363507;968650362;20015903;14836282;18166778;19739126;88784440;13218102;22509548;78387677;432895323;733751245;19394188;21269970;3686482216;15428227;26062385;17976923;225921757;216881337;2962923040;993153006;1249982359;15745368","7","36","36","9","4","5","5","759251;1367531;51241574","3","7313362;762682232;18148466;8960722;12811952;760764523;760785061;16888532;13604262;16664681;8880952;762764516;807095;20787622","14","7313362;762682232;18148466;8960722;12811952;760764523;760785061;13604262;16888532;8880952;762764516;20787622","12","188","122"
"17025489","democrat","TX","168502762;1074129612;20688358;15764644;1134292500;357606935;342863309;571214272;231510077;20113797","168502762;1074129612;20688358;15764644;1134292500;357606935;342863309;571214272;231510077;20113797","","10","0","10","6","6","0","6","14511951","1","16365305;15754281;17595745;15021918;16713771;44513878;807095;15679641","8","16365305;15021918;16713771;44513878;17595745;15679641","6","123","120"
"22524908","democrat","NY","29442313;357606935;18907639;17494010;164369297;328679423;29450962;970207298;240812994;1051127714;72198806;16160352;182217410;816298918468259841;172858784;111635980;15808765;14135426;1037321378;476256944;571214272;771152516;258900199;1055907624;193732179","357606935;18907639;17494010;164369297;328679423;29450962;970207298;240812994;1051127714;72198806;16160352;182217410;816298918468259841;172858784;111635980;15808765;14135426;1037321378;476256944;571214272;771152516;258900199;1055907624;193732179","","24","0","24","10","10","0","10","759251;51241574","2","14677919;39565067;17630125;9802132;43805270;63363893;318550411;15738599;17448662;818040343;18995454;8862532;9763482;807095;17469289;11988052","16","14677919;9802132;17630125;43805270;63363893;318550411;15738599;11988052;17448662;818040343;18995454;8862532;9763482;807095;17469289","15","280","278"
"174281775","democrat","TX","23022687;1134292500;29442313;323440720;357606935;803694179079458816;342863309;153944899;231510077;216776631;970207298","1134292500;323440720;357606935;803694179079458816;342863309;153944899;231510077;970207298","23022687","8","1","8","6","5","1","5","759251;14511951;1367531;51241574","4","15754281;16621190;16664681;17595745;15615783;15679641;16365305;14677919;18206547;9830752;15021918;8940342;21426656;807095;21318168;7313362;14337705;14085040;44513878;5692542;16713771;45564482","22","16365305;18206547;5692542;16621190;9830752;14337705;15679641;15021918;16713771;44513878;8940342;21426656;17595745;15615783;21318168","15","141","137"
"1571456322","democrat","CA","21059255;15764644;2371339658;236279233;29442313;432771620;357606935;803694179079458816;476256944;970207298;1260172386;14135426;216776631;1135486501;30354991;292594517;398193180","21059255;15764644;2371339658;236279233;432771620;357606935;803694179079458816;476256944;970207298;1260172386;14135426;1135486501;30354991;292594517;398193180","","15","0","15","12","12","0","12","","0","75375556;188760481;41416662;236951091;41171271;17926257;67457780;1188600084;69702585;28457505;36594224;14411304;14148802;16664681;15920055;14239496;28594289","17","188760481;41416662;75375556;236951091;41171271;67457780;1188600084;28457505;15920055;36594224;14411304;16664681;14148802;17926257;69702585;14239496;28594289","17","686","668"
"42132105","republican","FL","818948638890217473;109579534;58579942;1074480192;18916432;237348797;1480852568;23022687;281540744;26051676;18166778;818472418620608512;88784440;22509548;37094727;733751245;23970171;1058807868;33655490;2962923040;15745368","818472418620608512","818948638890217473;109579534;58579942;1074480192;18916432;237348797;1480852568;23022687;281540744;26051676;18166778;88784440;22509548;37094727;733751245;23970171;1058807868;33655490;2962923040;15745368","1","20","20","10","1","9","9","14511951;1367531","2","10424112;14304462;807095;14247572;6942422;16233017;1429761;18457416;12699932","9","10424112;14304462;14247572;6942422;16233017;1429761;18457416;12699932","8","648","642"
"574185893","democrat","TX","4615689368;22012091;20688358;80612021;357606935;170111219;407039290;17494010;29501253;36948268;29450962;29201047;970207298;72198806;168502762;74508260;16160352;15764644;342863309;787373558;231510077;3145735852;30354991;163570705;239548513;111635527;323440720;36686040;15808765;153944899;156333623;210926192;102178242;1074129612;242555999;1134292500;476256944;161411080;18695134;247334603","4615689368;22012091;20688358;80612021;357606935;170111219;407039290;17494010;29501253;36948268;29450962;29201047;970207298;72198806;168502762;74508260;16160352;15764644;342863309;787373558;231510077;3145735852;30354991;163570705;239548513;111635527;323440720;36686040;15808765;153944899;156333623;210926192;102178242;1074129612;242555999;1134292500;476256944;161411080;18695134;247334603","","40","0","40","14","14","0","14","759251;14511951;51241574","3","15754281;16621190;59154931;16664681;17595745;17095956;15615783;15679641;16365305;14677919;18206547;16166076;9830752;15021918;8940342;20553814;807095;41416662;14337705;14085040;44513878;5692542;18004786;23696276;16713771","25","16621190;59154931;17095956;17595745;15679641;15615783;16365305;18206547;16166076;9830752;15021918;8940342;20553814;14337705;44513878;5692542;18004786;23696276;16713771","19","937","905"
"2167134798","democrat","CA","21059255;2371339658;44251742;29501253;17494010;1055730738;30252303;30354991;3044993235;398193180","21059255;2371339658;44251742;29501253;17494010;1055730738;30252303;30354991;3044993235;398193180","","10","0","10","9","9","0","9","14511951","1","23102350;146137109;637388035;48422260;121600219;143109155;14411304;16664681;89289264","9","23102350;146137109;637388035;48422260;121600219;143109155;14411304;16664681;89289264","9","223","221"
"928125174","republican","UT","26057209","","26057209","0","1","1","1","0","1","1","","0","15050354","1","15050354","1","22","21"
"124291781","democrat","MT","","","","0","0","0","0","0","0","0","","0","","0","","0","0","0"
